season,episode,name,description,rating,airdate,link
1,14,The Witch's Garden,"A witch steals Jake's shape-shifting powers, but his ego makes getting them back very difficult.",7.6,1275861600,http://www.imdb.com//title/tt1698782/?ref_=ttep_ep14
1,15,What Is Life?,Finn creates a robot to continuously throw pies at Jake but unexpectedly imbues it with a soul.,7.8,1276466400,http://www.imdb.com//title/tt1698784/?ref_=ttep_ep15
1,16,Ocean of Fear,Finn must overcome his fear of the ocean.,7.9,1277071200,http://www.imdb.com//title/tt1698780/?ref_=ttep_ep16
1,17,When Wedding Bells Thaw,The Ice King announces that he is engaged and to the shock of Finn and Jake it seems the bride is actually willing. But will the Ice King give up his princess kidnapping ways?,7.3,1277762400,http://www.imdb.com//title/tt1698783/?ref_=ttep_ep17
1,18,Dungeon,"Finn adventures into a forbidden dungeon, against the wishes of Princess Bumblegum and Jake, and finds more than he bargained for.",8.4,1278885600,http://www.imdb.com//title/tt1698777/?ref_=ttep_ep18
1,19,The Duke,"An accident in the Candy Kingdom which Finn and Jake cause is blamed on the Duke of Nuts. Finn and Jake, however, find admitting the truth to be harder and harder as time passes.",7.6,1279490400,http://www.imdb.com//title/tt1698781/?ref_=ttep_ep19
1,20,Freak City,A trickster turns Finn into a giant foot.,7.6,1280095200,http://www.imdb.com//title/tt1698779/?ref_=ttep_ep20
1,21,Donny,"Finn and Jake try to reform a bullying ogre, but realize that their good deed has unexpected consequences.",7.4,1281304800,http://www.imdb.com//title/tt1901191/?ref_=ttep_ep21
1,22,Henchman,Marceline the Vampire Queen tricks Finn into swearing allegiance to her.,8.0,1282514400,http://www.imdb.com//title/tt1698775/?ref_=ttep_ep22
1,23,Rainy Day Daydream,"Jake's imagination literally runs wild, coming to life and bringing many dangers into the tree house.",8.1,1283724000,http://www.imdb.com//title/tt1748407/?ref_=ttep_ep23
1,24,What Have You Done?,"After being told to arrest the Ice King, Finn and Jake face an ethical quandary when they realize the villain has not actually committed any recent crimes.",7.7,1284328800,http://www.imdb.com//title/tt1763360/?ref_=ttep_ep24
1,25,His Hero,"Finn meets his hero, the great warrior Billy, who is not everything Finn expected him to be.",7.8,1284933600,http://www.imdb.com//title/tt1748408/?ref_=ttep_ep25
1,26,Gut Grinder,"Jake is accused of being a horrible monster that has been terrorizing the locals. Soon, Jake himself is unsure if he is or isn't the monster.",7.5,1285538400,http://www.imdb.com//title/tt1698773/?ref_=ttep_ep26
2,1,It Came from the Nightosphere,"Finn summons the Lord of Evil to reconcile with his daughter, Marceline the Vampire Queen, but ends up unleashing him of the unsuspecting land.",8.7,1286748000,http://www.imdb.com//title/tt1748406/?ref_=ttep_ep1
2,2,The Eyes,"Because of a creepy horse outside their window, Finn and Jake cannot get any sleep.",8.0,1287352800,http://www.imdb.com//title/tt1886798/?ref_=ttep_ep2
2,3,Loyalty to the King,"After shaving, the Ice King is mistaken as a good guy and takes advantage of the situation.",7.6,1287957600,http://www.imdb.com//title/tt1886799/?ref_=ttep_ep3
2,4,Blood Under the Skin,Finn is made fun of by a group of knights and reacts by questing for a set of magical armor that will earn him respect.,7.8,1288566000,http://www.imdb.com//title/tt1761052/?ref_=ttep_ep4
2,5,Storytelling,"Unable to give a sick Jake an entertaining story, Finn sets off into the woods to discover a true story.",7.8,1289170800,http://www.imdb.com//title/tt1886801/?ref_=ttep_ep5
2,6,Slow Love,Finn and Jake try to find a girlfriend for a giant snail so that it will stop wrecking their tree-house.,7.1,1289775600,http://www.imdb.com//title/tt1886802/?ref_=ttep_ep6
2,7,Power Animal,"Finn is kidnapped, but Jake's short attention span means rescue is dubious.",7.9,1290380400,http://www.imdb.com//title/tt1886803/?ref_=ttep_ep7
2,8,Crystals Have Power,Jake swears a life of non-violence right before a race of indestructible crystal-men abduct Finn to another dimension.,7.5,1290985200,http://www.imdb.com//title/tt1805579/?ref_=ttep_ep8
2,9,The Other Tarts,Finn and Jake are given one of the highest responsibilities: transporting and guarding the rarest pastry in the Candy Kingdom.,8.2,1294009200,http://www.imdb.com//title/tt1819780/?ref_=ttep_ep9
2,10,To Cut a Woman's Hair,An evil witch threatens to crush Jake to death if Finn doesn't deliver her the hair of a princess.,8.0,1294614000,http://www.imdb.com//title/tt1821733/?ref_=ttep_ep10
2,11,The Chamber of Frozen Blades,"While he's away, Finn and Jake sneak into Ice King's fortress.",7.9,1295218800,http://www.imdb.com//title/tt1880431/?ref_=ttep_ep11
2,12,Her Parents,"Anxious about meeting Lady Rainicorn's parents, Jake tries to pass himself off as a Rainicorn.",7.8,1295823600,http://www.imdb.com//title/tt1833240/?ref_=ttep_ep12
2,13,The Pods,"Given the duty of protecting three magic beans, one evil and two good, Finn and Jake decide to plant them to find out which is which.",7.7,1296428400,http://www.imdb.com//title/tt1831849/?ref_=ttep_ep13
2,14,The Silent King,"After defeating their king, Finn becomes the new ruler of the Goblin people, and finds that their strange ways are too difficult to understand.",7.7,1297033200,http://www.imdb.com//title/tt1854417/?ref_=ttep_ep14
2,15,The Real You,"Nervous about giving a speech at Princess Bubblegum's science conference and barbecue, Finn finds a magical pair of glasses that make him the smartest being in the land.",8.2,1297638000,http://www.imdb.com//title/tt1853820/?ref_=ttep_ep15
2,16,Guardians of Sunshine,Finn and Jake become trapped inside one of BMO's video game creations.,8.1,1298242800,http://www.imdb.com//title/tt1853819/?ref_=ttep_ep16
